"filename", "language", "JavaScript", "Markdown", "HTML", "CSS", "JSON", "YAML", "comment", "blank", "total"
"d:\Coding\My projects\Courses-in-Progress\Big-trip\.eslintrc.yml", "YAML", 0, 0, 0, 0, 0, 7, 0, 3, 10
"d:\Coding\My projects\Courses-in-Progress\Big-trip\.github\workflows\check.yml", "YAML", 0, 0, 0, 0, 0, 24, 0, 5, 29
"d:\Coding\My projects\Courses-in-Progress\Big-trip\Contributing.md", "Markdown", 0, 26, 0, 0, 0, 0, 0, 17, 43
"d:\Coding\My projects\Courses-in-Progress\Big-trip\Readme.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 24, 53
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\Readme.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\add-new-point-without-destination.html", "HTML", 0, 0, 542, 0, 0, 0, 0, 49, 591
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\add-new-point-without-offers.html", "HTML", 0, 0, 510, 0, 0, 0, 0, 46, 556
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\add-new-point.html", "HTML", 0, 0, 555, 0, 0, 0, 0, 51, 606
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\css\style.css", "CSS", 0, 0, 0, 883, 0, 0, 0, 98, 981
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\edit-point.html", "HTML", 0, 0, 507, 0, 0, 0, 0, 49, 556
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\list-empty.html", "HTML", 0, 0, 54, 0, 0, 0, 6, 13, 73
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\list-filter.html", "HTML", 0, 0, 239, 0, 0, 0, 0, 23, 262
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\list-sort.html", "HTML", 0, 0, 410, 0, 0, 0, 0, 28, 438
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\list.html", "HTML", 0, 0, 410, 0, 0, 0, 0, 28, 438
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\loading.html", "HTML", 0, 0, 54, 0, 0, 0, 0, 12, 66
"d:\Coding\My projects\Courses-in-Progress\Big-trip\markup\stats.html", "HTML", 0, 0, 74, 0, 0, 0, 0, 18, 92
"d:\Coding\My projects\Courses-in-Progress\Big-trip\package-lock.json", "JSON", 0, 0, 0, 0, 6729, 0, 0, 1, 6730
"d:\Coding\My projects\Courses-in-Progress\Big-trip\package.json", "JSON", 0, 0, 0, 0, 32, 0, 0, 1, 33
"d:\Coding\My projects\Courses-in-Progress\Big-trip\public\css\style.css", "CSS", 0, 0, 0, 883, 0, 0, 0, 98, 981
"d:\Coding\My projects\Courses-in-Progress\Big-trip\public\index.html", "HTML", 0, 0, 35, 0, 0, 0, 0, 8, 43
"d:\Coding\My projects\Courses-in-Progress\Big-trip\requirements.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 7, 28
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\Readme.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\main.js", "JavaScript", 11, 0, 0, 0, 0, 0, 2, 5, 18
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\mocks\mock-const.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 5, 36
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\mocks\mock-event.js", "JavaScript", 29, 0, 0, 0, 0, 0, 2, 5, 36
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\mocks\mock-utils.js", "JavaScript", 66, 0, 0, 0, 0, 0, 4, 20, 90
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\mocks\real-data.js", "JavaScript", 1510, 0, 0, 0, 0, 0, 0, 4, 1514
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\presenter\point-new.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 12, 43
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\presenter\point.js", "JavaScript", 88, 0, 0, 0, 0, 0, 1, 20, 109
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\presenter\trip.js", "JavaScript", 127, 0, 0, 0, 0, 0, 9, 26, 162
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\utils\common.js", "JavaScript", 37, 0, 0, 0, 0, 0, 2, 18, 57
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\utils\const.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\utils\render.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 14, 61
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\utils\utils.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 19, 69
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\abstract.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 7, 29
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\empty-list.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\event-components.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 11, 50
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\event-edit.js", "JavaScript", 170, 0, 0, 0, 0, 0, 8, 34, 212
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\event-new.js", "JavaScript", 216, 0, 0, 0, 0, 0, 3, 37, 256
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\event.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 18, 120
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\events-list.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\filter.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 5, 28
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\menu.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\price.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\route.js", "JavaScript", 31, 0, 0, 0, 0, 0, 1, 9, 41
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\smart.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 10, 39
"d:\Coding\My projects\Courses-in-Progress\Big-trip\src\view\sort.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 11, 58
"d:\Coding\My projects\Courses-in-Progress\Big-trip\webpack.config.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 2771, 89, 3390, 1766, 6761, 31, 38, 890, 15736